Subkey;Values
\Classes\.ppsx\ShellEx;
\Classes\.ppsx;"(default): PowerPoint.SlideShow.12; Content Type: application/vnd.openxmlformats-officedocument.presentationml.slideshow; PerceivedType: document"
\Classes\.ppt\PersistentHandler;(default): {98de59a0-d175-11cd-a7bd-00006b827d94}
\Classes\.ppt\ShellEx\{8895b1c6-b41f-4c1c-a562-0d564250836f};(default): {65235197-874B-4A07-BDC5-E65EA825B718}
\Classes\.ppt\ShellEx;
\Classes\.ppt;"(default): PowerPoint.Show.8; Content Type: application/vnd.ms-powerpoint"
\Classes\.ppthtml;(default): powerpointhtmlfile
\Classes\.pptm\PersistentHandler;(default): {4F46F75F-199F-4C63-8B7D-86D48FE7970C}
\Classes\.pptm\ShellEx\PropertyHandler;(default): {01BE4CFB-129A-452B-A209-F9D40B3B84A5}
\Classes\.pptm\ShellEx\{BB2E617C-0920-11d1-9A0B-00C04FC2D6C1};(default): {35C5242B-7455-4F9C-962B-369EA43ED6F3}
\Classes\.pptm\ShellEx;
\Classes\.pptm;"(default): PowerPoint.ShowMacroEnabled.12; Content Type: application/vnd.ms-powerpoint.presentation.macroEnabled.12; PerceivedType: document"
\Classes\.pptmhtml;(default): powerpointmhtmlfile
\Classes\.pptx\PersistentHandler;(default): {4F46F75F-199F-4C63-8B7D-86D48FE7970C}
\Classes\.pptx\PowerPoint.Show.12\ShellNew;FileName: C:\Program Files\Microsoft Office\Root\VFS\Windows\ShellNew\powerpoint.pptx
\Classes\.pptx\PowerPoint.Show.12;
\Classes\.pptx\ShellEx\PropertyHandler;(default): {01BE4CFB-129A-452B-A209-F9D40B3B84A5}
\Classes\.pptx\ShellEx\{8895b1c6-b41f-4c1c-a562-0d564250836f};(default): {65235197-874B-4A07-BDC5-E65EA825B718}
\Classes\.pptx\ShellEx\{BB2E617C-0920-11d1-9A0B-00C04FC2D6C1};(default): {35C5242B-7455-4F9C-962B-369EA43ED6F3}
\Classes\.pptx\ShellEx;
\Classes\.pptx;"(default): PowerPoint.Show.12; Content Type: application/vnd.openxmlformats-officedocument.presentationml.presentation; PerceivedType: document"
\Classes\.pptxml;(default): powerpointxmlfile
\Classes\.prc\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.prc;
\Classes\.prf;"(default): prffile; Content Type: application/pics-rules"
\Classes\.ps;Content Type: application/postscript
\Classes\.ps1xml;"(default): Microsoft.PowerShellXMLData.1; PerceivedType: Text"
\Classes\.psc1;"(default): Microsoft.PowerShellConsole.1; Content Type: application/PowerShell"
\Classes\.psd\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.psd;
\Classes\.pssc;"(default): Microsoft.PowerShellSessionConfiguration.1; PerceivedType: Text"
\Classes\.pst\OpenWithProgIDs;Outlook.File.pst.15: 0
\Classes\.pst;(default): Outlook.File.pst.15
\Classes\.ptx\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {C7657C4A-9F68-40fa-A4DF-96BC08EB3551}
\Classes\.ptx\ShellEx;
\Classes\.ptx;"Content Type: image/PTX; PerceivedType: image"
\Classes\.pub\Publisher.Document.16\ShellNew;FileName: C:\Program Files\Microsoft Office\Root\VFS\Windows\ShellNew\mspub.pub
\Classes\.pub\Publisher.Document.16;
\Classes\.pub;"(default): Publisher.Document.16; Content Type: application/vnd.ms-publisher"
\Classes\.pubhtml;(default): publisherhtmlfile
\Classes\.pubmhtml;(default): publishermhtmlfile
\Classes\.pwz;"(default): PowerPoint.Wizard.8; Content Type: application/vnd.ms-powerpoint"
\Classes\.pxn\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {C7657C4A-9F68-40fa-A4DF-96BC08EB3551}
\Classes\.pxn\ShellEx;
\Classes\.pxn;"Content Type: image/PXN; PerceivedType: image"
\Classes\.py;"(default): Python.File; Content Type: text/x-python"
\Classes\.pyc;(default): Python.CompiledFile
\Classes\.pyd;(default): Python.Extension
\Classes\.pyo;(default): Python.CompiledFile
\Classes\.pyw;"(default): Python.NoConFile; Content Type: text/x-python"
\Classes\.pyz;"(default): Python.ArchiveFile; Content Type: application/x-zip-compressed"
\Classes\.pyzw;"(default): Python.NoConArchiveFile; Content Type: application/x-zip-compressed"
\Classes\.qcp;(default): VLC.qcp
\Classes\.qds;(default): SavedDsQuery
\Classes\.ra;(default): VLC.ra
\Classes\.raf\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {C7657C4A-9F68-40fa-A4DF-96BC08EB3551}
\Classes\.raf\ShellEx;
\Classes\.raf;"Content Type: image/RAF; PerceivedType: image"
\Classes\.ram;(default): VLC.ram
\Classes\.rar\OpenWithProgids;ArchiveFolder: 0
\Classes\.rar\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.rar;"(default): ArchiveFolder; Content Type: application/x-compressed; PerceivedType: compressed"
\Classes\.rat;"(default): ratfile; Content Type: application/rat-file"
\Classes\.raw\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {C7657C4A-9F68-40fa-A4DF-96BC08EB3551}
\Classes\.raw\ShellEx;
\Classes\.raw;"Content Type: image/RAW; PerceivedType: image"
\Classes\.rc\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.rc;(default): DevCpp.rc
\Classes\.rc2\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.rc2;
\Classes\.rct\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.rct;
\Classes\.RDP;(default): RDP.File
\Classes\.rec;(default): VLC.rec
\Classes\.reg\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.reg;(default): regfile
\Classes\.rels;"(default): xmlfile; ContentType: application/vnd.ms-package.relationships+xml"
\Classes\.res\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.res;
\Classes\.resmoncfg;(default): Diagnostic.Resmon.Config
\Classes\.rf5;(default): wireshark-capture-file
\Classes\.rgs\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.rgs;
\Classes\.rle\OpenWithProgids;paint.net.1: 0
\Classes\.rle\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.rle;PerceivedType: image
\Classes\.rll;(default): dllfile
\Classes\.rm;(default): VLC.rm
\Classes\.rmf\Acrobat.RMFFile\ShellNew;
\Classes\.rmf\Acrobat.RMFFile;
\Classes\.rmf\OpenWithProgids;"(default): 0; Acrobat.RMFFile: 0"
\Classes\.rmf;"Content Type: application/vnd.adobe.rmf; (default): Acrobat.RMFFile"
\Classes\.rmi\OpenWithProgIds;WMP11.AssocFile.MIDI: 0
\Classes\.rmi\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.rmi;"PerceivedType: audio; Content Type: audio/mid; (default): VLC.rmi; VLC.backup: WMP11.AssocFile.MIDI"
\Classes\.rmvb;(default): VLC.rmvb
\Classes\.rpc\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.rpc;
\Classes\.rpl;(default): VLC.rpl
\Classes\.rqy;"(default): rqyfile; Content Type: text/x-ms-rqy"
\Classes\.rsp\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.rsp;
\Classes\.rtf\OpenWithList\WordPad.exe;(default): 0
\Classes\.rtf\OpenWithList;
\Classes\.rtf\PersistentHandler;(default): {2e2294a9-50d7-4fe7-a09f-e6492e185884}
\Classes\.rtf\ShellEx\{8895b1c6-b41f-4c1c-a562-0d564250836f};(default): {84F66100-FF7C-4fb4-B0C0-02CD7FB668FE}
\Classes\.rtf\ShellEx;
\Classes\.rtf\ShellNew;"Data: {\rtf1}; ItemName: @%ProgramFiles%\Windows NT\Accessories\WORDPAD.EXE,-213"
\Classes\.rtf;"PerceivedType: document; (default): Word.RTF.8; Content Type: application/msword"
\Classes\.rtp;(default): wireshark-capture-file
\Classes\.rul\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.rul;
\Classes\.rw2\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {C7657C4A-9F68-40fa-A4DF-96BC08EB3551}
\Classes\.rw2\ShellEx;
\Classes\.rw2;"Content Type: image/RW2; PerceivedType: image"
\Classes\.rwl\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {C7657C4A-9F68-40fa-A4DF-96BC08EB3551}
\Classes\.rwl\ShellEx;
\Classes\.rwl;"Content Type: image/RWL; PerceivedType: image"
\Classes\.s\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.s;
\Classes\.s3m;(default): VLC.s3m
\Classes\.sbr\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.sbr;
\Classes\.sc2\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.sc2;
\Classes\.scc\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.scc;
\Classes\.scd\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.scd;
\Classes\.scf;(default): SHCmdFile
\Classes\.sch\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.sch;
\Classes\.scr;(default): scrfile
\Classes\.sct;"(default): scriptletfile; Content Type: text/scriptlet"
\Classes\.sdp;(default): VLC.sdp
\Classes\.search-ms;(default): SearchFolder
\Classes\.searchConnector-ms;"(default): SearchConnectorFolder; Content Type: application/windows-search-connector+xml"
\Classes\.secstore\Acrobat.SecStore\ShellNew;
\Classes\.secstore\Acrobat.SecStore;
\Classes\.secstore\OpenWithProgids;"(default): 0; Acrobat.SecStore: 0"
\Classes\.secstore;(default): Acrobat.SecStore
\Classes\.sed;PerceivedType: text
\Classes\.sequ\Acrobat.Sequence\ShellNew;
\Classes\.sequ\Acrobat.Sequence;
\Classes\.sequ\OpenWithProgids;"(default): 0; Acrobat.Sequence: 0"
\Classes\.sequ;(default): Acrobat.Sequence
\Classes\.serviceoscmd;(default): SOSShell
\Classes\.settingcontent-ms\PersistentHandler;(default): {58A9EBF6-5755-4554-A67E-A2467AD1447B}
\Classes\.settingcontent-ms;(default): SettingContent
\Classes\.sfcache;(default): RDBFileProperties.1
\Classes\.sh;(default): sh_auto_file
\Classes\.shtm\PersistentHandler;(default): {eec97550-47a9-11cf-b952-00aa0051fe20}
\Classes\.shtm;
\Classes\.shtml\OpenWithProgids;"MSEdgeHTM: 0; ChromeHTML: 0"
\Classes\.shtml\PersistentHandler;(default): {eec97550-47a9-11cf-b952-00aa0051fe20}
\Classes\.shtml;PerceivedType: text
\Classes\.sit\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.sit;Content Type: application/x-stuffit
\Classes\.sldm;"(default): PowerPoint.SlideMacroEnabled.12; Content Type: application/vnd.ms-powerpoint.slide.macroEnabled.12; PerceivedType: document"
\Classes\.sldx;"(default): PowerPoint.Slide.12; Content Type: application/vnd.openxmlformats-officedocument.presentationml.slide; PerceivedType: document"
\Classes\.slk;"(default): Excel.SLK; Content Type: application/vnd.ms-excel"
\Classes\.snd\OpenWithProgIds;WMP11.AssocFile.AU: 0
\Classes\.snd\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.snd;"PerceivedType: audio; Content Type: audio/basic; (default): VLC.snd; VLC.backup: WMP11.AssocFile.AU"
\Classes\.snoop;(default): wireshark-capture-file
\Classes\.sol\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.sol;Content Type: text/plain
\Classes\.sor\PersistentHandler;(default): {eec97550-47a9-11cf-b952-00aa0051fe20}
\Classes\.sor;Content Type: text/plain
\Classes\.spc;"(default): SPCFile; Content Type: application/x-pkcs7-certificates"
\Classes\.spx;(default): VLC.spx
\Classes\.sql\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.sql;"PerceivedType: text; (default): SQLFile"
\Classes\.sr2\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {C7657C4A-9F68-40fa-A4DF-96BC08EB3551}
\Classes\.sr2\ShellEx;
\Classes\.sr2;"Content Type: image/SR2; PerceivedType: image"
\Classes\.srf\PersistentHandler;(default): {eec97550-47a9-11cf-b952-00aa0051fe20}
\Classes\.srf\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {C7657C4A-9F68-40fa-A4DF-96BC08EB3551}
\Classes\.srf\ShellEx;
\Classes\.srf;"Content Type: image/SRF; PerceivedType: image"
\Classes\.srw\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {C7657C4A-9F68-40fa-A4DF-96BC08EB3551}
\Classes\.srw\ShellEx;
\Classes\.srw;"Content Type: image/SRW; PerceivedType: image"
\Classes\.sr_\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.sr_;
\Classes\.sst;"(default): CertificateStoreFile; Content Type: application/vnd.ms-pki.certstore"
\Classes\.stm\PersistentHandler;(default): {eec97550-47a9-11cf-b952-00aa0051fe20}
\Classes\.stm;
\Classes\.svg\OpenWithProgIds;"svgfile: 0; MSEdgeHTM: 0; ChromeHTML: 0"
\Classes\.svg;"(default): svgfile; Content Type: image/svg+xml"
\Classes\.syc;(default): wireshark-capture-file
\Classes\.sym\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.sym;
\Classes\.symlink\shellex\ContextMenuHandlers\OpenContainingFolderMenu;(default): {37ea3a21-7493-4208-a011-7f9ea79ce9f5}
\Classes\.symlink\shellex\ContextMenuHandlers\{85cfccaf-2d14-42b6-80b6-f40f65d016e7};(default): 0
\Classes\.symlink\shellex\ContextMenuHandlers;
\Classes\.symlink\shellex\IconHandler;(default): {85cfccaf-2d14-42b6-80b6-f40f65d016e7}
\Classes\.symlink\shellex\{000214EE-0000-0000-C000-000000000046};(default): {85cfccaf-2d14-42b6-80b6-f40f65d016e7}
\Classes\.symlink\shellex\{000214F9-0000-0000-C000-000000000046};(default): {85cfccaf-2d14-42b6-80b6-f40f65d016e7}
\Classes\.symlink\shellex;
\Classes\.symlink;"(default): .symlink; FriendlyTypeName: @%SystemRoot%\shell32.dll,-4153"
\Classes\.sys\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.sys;"(default): sysfile; PerceivedType: system"
\Classes\.sy_\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.sy_;
\Classes\.tab\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.tab;
\Classes\.tar\OpenWithProgids;ArchiveFolder: 0
\Classes\.tar\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.tar;"PerceivedType: compressed; Content Type: application/x-tar; (default): ArchiveFolder"
\Classes\.tbz2\OpenWithProgids;ArchiveFolder: 0
\Classes\.tbz2\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.tbz2;"(default): ArchiveFolder; Content Type: application/x-compressed; PerceivedType: compressed"
\Classes\.tdl\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.tdl;
\Classes\.template;(default): DevCpp.template
\Classes\.text;PerceivedType: text
\Classes\.tga\OpenWithProgids;paint.net.1: 0
\Classes\.tga;
\Classes\.tgz\OpenWithProgids;ArchiveFolder: 0
\Classes\.tgz\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.tgz;"PerceivedType: compressed; Content Type: application/x-compressed; (default): ArchiveFolder"
\Classes\.theme;(default): themefile
\Classes\.themepack;(default): themepackfile
\Classes\.thmx\ShellEx\{BB2E617C-0920-11d1-9A0B-00C04FC2D6C1};(default): {35C5242B-7455-4F9C-962B-369EA43ED6F3}
\Classes\.thmx\ShellEx;
\Classes\.thmx;"(default): OfficeTheme.12; Content Type: application/vnd.ms-officetheme"
\Classes\.thp;(default): VLC.thp
\Classes\.tif\OpenWithProgids;"TIFImage.Document: 0; paint.net.1: 0"
\Classes\.tif\PersistentHandler;(default): {58F2E3BB-72BD-46df-B134-1B50628668FB}
\Classes\.tif;"(default): TIFImage.Document; Content Type: image/tiff; PerceivedType: image"
\Classes\.tiff\OpenWithProgids;"TIFImage.Document: 0; paint.net.1: 0"
\Classes\.tiff\PersistentHandler;(default): {58F2E3BB-72BD-46df-B134-1B50628668FB}
\Classes\.tiff;"(default): TIFImage.Document; Content Type: image/tiff; PerceivedType: image"
\Classes\.tlb\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.tlb;
\Classes\.tlh\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.tlh;
\Classes\.tli\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.tli;
\Classes\.tod\ShellEx\{BB2E617C-0920-11D1-9A0B-00C04FC2D6C1};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.tod\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.tod\ShellEx;
\Classes\.tod;"Content Type: video/mpeg; PerceivedType: video"
\Classes\.torrent\OpenWithProgids;Torrent File: 0
\Classes\.torrent;(default): Torrent File
\Classes\.tp;(default): VLC.tp
\Classes\.tpc;(default): wireshark-capture-file
\Classes\.tr1;(default): wireshark-capture-file
\Classes\.trace;(default): wireshark-capture-file
\Classes\.trc;(default): wireshark-capture-file
\Classes\.trg\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.trg;
\Classes\.TS\OpenWithProgIds;WMP11.AssocFile.TTS: 0
\Classes\.TS\ShellEx\{BB2E617C-0920-11D1-9A0B-00C04FC2D6C1};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.TS\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.TS\ShellEx;
\Classes\.TS;"(default): WMP11.AssocFile.TTS; Content Type: video/vnd.dlna.mpeg-tts; PerceivedType: video"
\Classes\.tsp\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.tsp;
\Classes\.tsv;PerceivedType: text
\Classes\.tta;(default): VLC.tta
\Classes\.ttc\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.ttc;(default): ttcfile
\Classes\.ttf\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.ttf;(default): ttffile
\Classes\.TTS\OpenWithProgIds;WMP11.AssocFile.TTS: 0
\Classes\.TTS\ShellEx\{BB2E617C-0920-11D1-9A0B-00C04FC2D6C1};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.TTS\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.TTS\ShellEx;
\Classes\.TTS;"(default): WMP11.AssocFile.TTS; Content Type: video/vnd.dlna.mpeg-tts; PerceivedType: video"
\Classes\.txt\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.txt;"Content Type: text/plain; PerceivedType: text; (default): txtfilelegacy"
\Classes\.txz\OpenWithProgids;ArchiveFolder: 0
\Classes\.txz\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.txz;"(default): ArchiveFolder; Content Type: application/x-compressed; PerceivedType: compressed"
\Classes\.tzst\OpenWithProgids;ArchiveFolder: 0
\Classes\.tzst\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.tzst;"(default): ArchiveFolder; Content Type: application/x-compressed; PerceivedType: compressed"
\Classes\.udf\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.udf;
\Classes\.UDL;(default): MSDASC
\Classes\.udt\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.udt;
\Classes\.URL\OpenWithProgIds;InternetShortcut: 0
\Classes\.URL\PersistentHandler;(default): {8CD34779-9F10-4f9b-ADFB-B3FAEABDAB5A}
\Classes\.URL\ShellEx\{000214EE-0000-0000-C000-000000000046};(default): {FBF23B40-E3F0-101B-8488-00AA003E56F8}
\Classes\.URL\ShellEx\{000214F9-0000-0000-C000-000000000046};(default): {FBF23B40-E3F0-101B-8488-00AA003E56F8}
\Classes\.URL\ShellEx\{00021500-0000-0000-C000-000000000046};(default): {FBF23B40-E3F0-101B-8488-00AA003E56F8}
\Classes\.URL\ShellEx\{CABB0DA0-DA57-11CF-9974-0020AFD79762};(default): {FBF23B40-E3F0-101B-8488-00AA003E56F8}
\Classes\.URL\ShellEx\{FBF23B80-E3F0-101B-8488-00AA003E56F8};(default): {FBF23B40-E3F0-101B-8488-00AA003E56F8}
\Classes\.URL\ShellEx;
\Classes\.URL;(default): InternetShortcut
\Classes\.user\PersistentHandler;(default): {7E9D8D44-6926-426F-AA2B-217A819A5CCE}
\Classes\.user;
\Classes\.usr\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.usr;
\Classes\.uvu\ShellEx\{BB2E617C-0920-11D1-9A0B-00C04FC2D6C1};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.uvu\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.uvu\ShellEx;
\Classes\.uvu;"Content Type: video/vnd.dece.mp4; PerceivedType: video"
\Classes\.uxdc;(default): UXDCFILE
\Classes\.v\OpenWithProgIds;HDL Works.Scriptum.23.0Rev1: 0
\Classes\.v;
\Classes\.VBE;(default): VBEFile
\Classes\.vbproj\PersistentHandler;(default): {7E9D8D44-6926-426F-AA2B-217A819A5CCE}
\Classes\.vbproj;
\Classes\.vbs\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.vbs;(default): VBSFile
\Classes\.vbx\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.vbx;
\Classes\.vcf\OpenWithProgIDs;Outlook.File.vcf.15: 0
\Classes\.vcf;"Content Type: text/x-vcard; (default): Outlook.File.vcf.15"
\Classes\.vcproj\PersistentHandler;(default): {7E9D8D44-6926-426F-AA2B-217A819A5CCE}
\Classes\.vcproj;
\Classes\.vcs\OpenWithProgIDs;Outlook.File.vcs.15: 0
\Classes\.vcs;(default): Outlook.File.vcs.15
\Classes\.vdw\shellex\{8895b1c6-b41f-4c1c-a562-0d564250836f};(default): {21E17C2F-AD3A-4b89-841F-09CFE02D16B7}
\Classes\.vdw\shellex;
\Classes\.vdw;"(default): VisioViewer.Viewer; Content Type: application/vnd.ms-visio.viewer"
\Classes\.vdx\shellex\{00021500-0000-0000-C000-000000000046};(default): {D66DC78C-4F61-447F-942B-3FB6980118CF}
\Classes\.vdx\shellex\{8895b1c6-b41f-4c1c-a562-0d564250836f};(default): {21E17C2F-AD3A-4b89-841F-09CFE02D16B7}
\Classes\.vdx\shellex;
\Classes\.vdx;"(default): VisioViewer.Viewer; Content Type: application/vnd.ms-visio.viewer"
\Classes\.verilog\OpenWithProgIds;HDL Works.Scriptum.23.0Rev1: 0
\Classes\.verilog;
\Classes\.vhd\OpenWithProgIds;HDL Works.Scriptum.23.0Rev1: 0
\Classes\.vhd;(default): Windows.VhdFile
\Classes\.vhdl\OpenWithProgIds;HDL Works.Scriptum.23.0Rev1: 0
\Classes\.vhdl;
\Classes\.vhdpmem;(default): Windows.VhdPmemFile
\Classes\.vhdx;(default): Windows.VhdFile
\Classes\.viw\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.viw;
\Classes\.vlc;(default): VLC.vlc
\Classes\.vmac\OpenWithList\vmware.exe;
\Classes\.vmac\OpenWithList;
\Classes\.vmac;(default): VMware.Document
\Classes\.vmba\OpenWithList\vmware.exe;
\Classes\.vmba\OpenWithList;
\Classes\.vmba;(default): VMware.Document
\Classes\.vmdk\VMware.VirtualDisk\ShellNew;
\Classes\.vmdk\VMware.VirtualDisk;
\Classes\.vmdk;(default): VMware.VirtualDisk
\Classes\.vmpl\VMware.VMPolicy\ShellNew;
\Classes\.vmpl\VMware.VMPolicy;
\Classes\.vmpl;(default): VMware.VMPolicy
\Classes\.vmsd\VMware.SnapshotMetadata\ShellNew;
\Classes\.vmsd\VMware.SnapshotMetadata;(default): VMware snapshot metadata
\Classes\.vmsd;(default): VMware.SnapshotMetadata
\Classes\.vmsn\VMware.Snapshot\ShellNew;
\Classes\.vmsn\VMware.Snapshot;
\Classes\.vmsn;(default): VMware.Snapshot
\Classes\.vmss\VMware.SuspendState\ShellNew;
